ess_round,year,response_category,freq,percent,cum_percent
10,2021/22,Extremely dissatisfied,54.9016,3.2,3.2
10,2021/22,1,36.939,2.15,5.35
10,2021/22,2,71.8092,4.18,9.53
10,2021/22,3,75.715,4.41,13.93
10,2021/22,4,89.4901,5.21,19.14
10,2021/22,5,191.8326,11.17,30.31
10,2021/22,6,208.2709,12.12,42.43
10,2021/22,7,326.5929,19.01,61.44
10,2021/22,8,353.3813,20.57,82.01
10,2021/22,9,151.9979,8.85,90.86
10,2021/22,Extremely satisfied,157.0695,9.14,100.0
