category,group_type,group_value,value,unit
Economy,employment,In paid work,65.93,percent
Culture,employment,In paid work,69.36,percent
Place to live,employment,In paid work,67.22,percent
Economy,employment,Unemployed,52.46,percent
Culture,employment,Unemployed,58.85,percent
Place to live,employment,Unemployed,51.73,percent
