ess_round,year,series,value
9,2016,Governments will take sufficient action,4.7
10,2021/22,Governments will take sufficient action,4.8799
11,2023,Governments will take sufficient action,4.9999
9,2016,Limiting energy use would reduce climate change,6.0
10,2021/22,Limiting energy use would reduce climate change,5.9693
11,2023,Limiting energy use would reduce climate change,6.1059
9,2016,People will actually limit energy use,4.3
10,2021/22,People will actually limit energy use,4.4024
11,2023,People will actually limit energy use,4.4839
