ess_round,year,response_category,freq,percent,cum_percent
10,2021/22,Extremely dissatisfied,31.5899,1.82,1.82
10,2021/22,1,13.9349,0.8,2.62
10,2021/22,2,48.9959,2.82,5.44
10,2021/22,3,54.5108,3.13,8.57
10,2021/22,4,76.1635,4.38,12.95
10,2021/22,5,196.4219,11.3,24.24
10,2021/22,6,242.8535,13.97,38.21
10,2021/22,7,376.8057,21.67,59.88
10,2021/22,8,379.0516,21.8,81.67
10,2021/22,9,165.6392,9.52,91.2
10,2021/22,Extremely satisfied,153.0331,8.8,100.0
