category,group_type,group_value,value,unit
Women are treated less fairly than men,gender,Male,38.42,percent
Men are treated less fairly than women,gender,Male,5.07,percent
Women and men are treated equally fairly,gender,Male,56.51,percent
Women are treated less fairly than men,gender,Female,53.37,percent
Men are treated less fairly than women,gender,Female,2.75,percent
Women and men are treated equally fairly,gender,Female,43.88,percent
