ess_round,year,response_category,freq,percent,cum_percent
10,2021/22,Extremely dissatisfied,56.2088,3.32,3.32
10,2021/22,1,49.8452,2.94,6.26
10,2021/22,2,108.7297,6.41,12.67
10,2021/22,3,135.1075,7.97,20.64
10,2021/22,4,175.6993,10.37,31.01
10,2021/22,5,282.1802,16.65,47.66
10,2021/22,6,235.0487,13.87,61.52
10,2021/22,7,265.1945,15.65,77.17
10,2021/22,8,224.1193,13.22,90.39
10,2021/22,9,93.9854,5.54,95.94
10,2021/22,Extremely satisfied,68.8813,4.06,100.0
