category,group_type,group_value,value,unit
Low trust in EU Parliament,urban_rural,Urban,29.28,percent
Unification has gone far enough,urban_rural,Urban,22.52,percent
Low attachment to Europe,urban_rural,Urban,18.19,percent
Low trust in EU Parliament,urban_rural,Rural,33.12,percent
Unification has gone far enough,urban_rural,Rural,32.32,percent
Low attachment to Europe,urban_rural,Rural,26.3,percent
