ess_round,year,response_category,freq,percent,cum_percent
10,2021/22,Extremely dissatisfied,162.5312,9.54,9.54
10,2021/22,1,111.8538,6.56,16.1
10,2021/22,2,184.7009,10.84,26.94
10,2021/22,3,181.8847,10.67,37.62
10,2021/22,4,195.4327,11.47,49.08
10,2021/22,5,229.9602,13.5,62.58
10,2021/22,6,165.0045,9.68,72.26
10,2021/22,7,175.2292,10.28,82.55
10,2021/22,8,178.9573,10.5,93.05
10,2021/22,9,78.6485,4.62,97.66
10,2021/22,Extremely satisfied,39.797,2.34,100.0
